Feature,Importance
Evaluation,0.24802654121563636
Current ELO,0.08618600670547512
Clock Time,0.07285653052886386
Move Count,0.07165837108925968
Legal Moves,0.0705846969550391
Time Difference,0.059728638135699084
Queens on Board,0.05865023500351908
Total Pieces,0.05766883356671975
ELO Difference,0.051400645566672516
ECO Number,0.047029124453713614
Pawn Mismatch,0.02812034436069154
Piece Mismatch,0.02580072875903409
Bishop Mismatch,0.015488050219367161
Increment,0.015094081604434288
Rook Mismatch,0.014839056013231001
Knight Mismatch,0.014524739093310353
Rook vs Minor,0.013170422885816324
Queen Mismatch,0.012836389294840227
Turn,0.012795225233897664
Queen vs Rooks,0.011984611021923944
Bishop vs Knight,0.011556728292855274
